Microservices,CPU,mem,response,throughtput,timestamp
bookshop-ui,35.4,293,9.856,3.133,08/07/2020 15:24
bookshop-books,35.4,4302,5709,6.935,08/07/2020 15:24
bookshop-purchases,35.4,574,18.86,3.133,08/07/2020 15:24
bookshop-ui,35.4,294,3.127,2.167,08/07/2020 15:25
bookshop-books,35.4,4302,1.422,5.267,08/07/2020 15:25
bookshop-purchases,35.4,574,34.27,2.433,08/07/2020 15:25
bookshop-ui,35,294,1.636,2.233,08/07/2020 15:25
bookshop-books,35,4302,2.051,4.226,08/07/2020 15:25
bookshop-purchases,35,574,30.79,1.767,08/07/2020 15:25
bookshop-ui,34.9,294,4.749,1.667,08/07/2020 15:26
bookshop-books,34.9,4302,2.827,3.167,08/07/2020 15:26
bookshop-purchases,34.9,574,19.97,1.367,08/07/2020 15:26
bookshop-ui,34.5,294,36.02,1.333,08/07/2020 15:26
bookshop-books,34.9,4302,3829,2.533,08/07/2020 15:26
bookshop-purchases,34.9,574,7.63,1.067,08/07/2020 15:26
bookshop-ui,33.2,294,7613,1.033,08/07/2020 15:27
bookshop-books,33.2,4302,2.107,2,08/07/2020 15:27
bookshop-purchases,34,574,17.08,0.9,08/07/2020 15:27
bookshop-ui,34.7,294,17.58,0.833,08/07/2020 15:27
bookshop-books,34.2,4302,3824,1.567,08/07/2020 15:27
bookshop-purchases,33.4,574,20.48,0.9,08/07/2020 15:27
bookshop-ui,34.6,294,361.5,0.467,08/07/2020 15:28
bookshop-books,34.6,4303,5744,1.267,08/07/2020 15:28
bookshop-purchases,34.6,574,30.71,0.6,08/07/2020 15:28
bookshop-ui,34.8,294,7661,0.433,08/07/2020 15:28
bookshop-books,34.8,4303,7466,0.9,08/07/2020 15:28
bookshop-purchases,34.8,574,21.48,0.367,08/07/2020 15:28
bookshop-ui,50.1,294,7850,0.233,08/07/2020 15:29
bookshop-books,50.3,4303,3996,0.594,08/07/2020 15:29
bookshop-purchases,50.6,574,7.834,0.4,08/07/2020 15:29
bookshop-ui,59.4,294,7948,0.3,08/07/2020 15:29
bookshop-books,59.4,4303,110.8,0.419,08/07/2020 15:29
bookshop-purchases,59.4,574,6.105,0.267,08/07/2020 15:29
bookshop-ui,58.1,294,7648,0.267,08/07/2020 15:30
bookshop-books,58.4,4303,7775,0.469,08/07/2020 15:30
bookshop-purchases,58.9,575,12.39,0.233,08/07/2020 15:30
bookshop-ui,58.7,294,13860,0.1,08/07/2020 15:30
bookshop-books,58.4,4303,262.9,0.312,08/07/2020 15:30
bookshop-purchases,58,575,8.344,0.2,08/07/2020 15:30
bookshop-ui,59.9,294,5690,0.067,08/07/2020 15:31
bookshop-books,59.9,4303,64.5,0.219,08/07/2020 15:31
bookshop-purchases,59.9,575,4.125,0.1,08/07/2020 15:31
